aircraft carrier	lotniskowiec
hot air balloon	balon
hot dog	hot dog
hot tub	jacuzzi
hourglass	klepsydra
house plant	roślina domowa
house	dom
hurricane	huragan
ice cream	lody
jacket	kurtka
jail	więzienie
kangaroo	kangur
key	klucz
keyboard	klawiatura
knee	kolano
knife	nóż
ladder	drabina
lantern	latarnia
laptop	laptop
leaf	liść
leg	noga
light bulb	żarówka
lighter	zapalniczka
lighthouse	latarnia morska
lightning	błyskawica
line	linia
lion	lew
lipstick	pomadka
lobster	homar
lollipop	lizak
mailbox	skrzynka pocztowa
map	mapa
marker	marker
matches	zapałki
megaphone	megafon
mermaid	syrena
microphone	mikrofon
microwave	kuchenka mikrofalowa
monkey	małpa
moon	księżyc
mosquito	komar
motorbike	motocykl
mouse	mysz
moustache	wąsy
mouth	usta
mug	kubek
mushroom	grzyb
nail	gwóźdź
necklace	naszyjnik
nose	nos
ocean	ocean
octagon	ośmiokąt
octopus	ośmiornica
onion	cebula
oven	piekarnik
owl	sowa
paint can	puszka farby
paintbrush	pędzel
palm tree	palma
panda	panda
pants	spodnie
paper clip	spinacz
parachute	spadochron
parrot	papuga
passport	paszport
peanut	orzech
pear	gruszka
peas	groszek
pencil	ołówek
penguin	pingwin
piano	fortepian
picture frame	ramka
pig	świnia
pillow	poduszka
pineapple	ananas
pizza	pizza
pliers	szczypce
police car	radiowóz
pond	staw
pool	basen
popsicle	lód na patyku
postcard	pocztówka
potato	ziemniak
power outlet	gniazdo zasilania
purse	portmonetka
rabbit	królik
raccoon	szop pracz
radio	radio
rain	deszcz
rainbow	tęcza
rake	grabie
remote control	pilot do telewizora
rhinoceros	nosorożec
rifle	karabin
river	rzeka
roller coaster	kolejka górska
rollerskates	rolki
sailboat	żaglówka
sandwich	kanapka
saw	piła
saxophone	saksofon
school bus	autobus szkolny
scissors	nożyce
scorpion	skorpion
screwdriver	śrubokręt
sea turtle	żółw morski
see saw	huśtać się
shark	rekin
sheep	owca
shoe	but
shorts	szorty
shovel	łopata
skateboard	deskorolka
skull	czaszka
skyscraper	wieżowiec
sleeping bag	śpiwór
smiley face	uśmiechnięta twarz
snail	ślimak
snake	wąż
snorkel	rurka do nurkowania
snowflake	płatek śniegu
snowman	bałwan
soccer ball	piłka nożna
sock	skarpetka
speedboat	motorówka
spider	pająk
spoon	łyżka
spreadsheet	arkusz
square	kwadrat
squiggle	zawijas
squirrel	wiewiórka
stairs	schody
star	gwiazda
steak	stek
stereo	wieża stereo
stethoscope	stetoskop
stitches	szwy
stop sign	znak stopu
stove	kuchenka
strawberry	truskawka
streetlight	światła
string bean	fasolka szparagowa
submarine	łódź podwodna
suitcase	walizka
sun	słońce
swan	łabędź
sweater	sweter
swing set	huśtawka
sword	miecz
syringe	strzykawka
t-shirt	podkoszulek
table	stół
teapot	czajniczek
teddy-bear	miś pluszowy
telephone	telefon
television	telewizja
tennis racquet	rakieta tenisowa
tent	namiot
The Eiffel Tower	Wieża Eiffla
The Great Wall of China	Wielki Mur Chiński
The Mona Lisa	Mona Lisa
tiger	tygrys
toaster	toster
toe	palec u nogi
toilet	toaleta
tooth	ząb
toothbrush	szczoteczka do zębów
toothpaste	pasta do zębów
tornado	tornado
tractor	traktor
traffic light	sygnalizacja świetlna
train	pociąg
tree	drzewo
triangle	trójkąt
trombone	puzon
truck	samochód ciężarowy
trumpet	trąbka
umbrella	parasol
underwear	bielizna
van	furgonetka
vase	wazon
violin	skrzypce
washing machine	pralka
watermelon	arbuz
waterslide	waterslide
whale	wieloryb
wheel	koło
windmill	wiatrak
wine bottle	butelka wina
wine glass	lampka wina
wristwatch	zegarek na rękę
yoga	joga
zebra	zebra
zigzag	zygzak
